dataset_id,provenance,model,window_days,payment_id,order_id,placement_id,amount_cents,weight
demo_2026,synthetic,last_touch,1,pay6,o6,p_owned,500000,1
demo_2026,synthetic,last_touch,1,pay8part1,o8,p_a,500000,1
demo_2026,synthetic,last_touch,1,pay8part2,o8,p_b,500000,1
demo_2026,synthetic,first_touch,1,pay6,o6,p_owned,500000,1
demo_2026,synthetic,first_touch,1,pay8part1,o8,p_a,500000,1
demo_2026,synthetic,first_touch,1,pay8part2,o8,p_b,500000,1
demo_2026,synthetic,linear,1,pay6,o6,p_owned,500000,1
demo_2026,synthetic,linear,1,pay8part1,o8,p_a,500000,1
demo_2026,synthetic,linear,1,pay8part2,o8,p_b,500000,1
demo_2026,synthetic,time_decay,1,pay6,o6,p_owned,500000,1
demo_2026,synthetic,time_decay,1,pay8part1,o8,p_a,500000,1
demo_2026,synthetic,time_decay,1,pay8part2,o8,p_b,500000,1
demo_2026,synthetic,position_based,1,pay6,o6,p_owned,500000,1
demo_2026,synthetic,position_based,1,pay8part1,o8,p_a,500000,1
demo_2026,synthetic,position_based,1,pay8part2,o8,p_b,500000,1
demo_2026,synthetic,last_touch,3,pay1,o1,p_b,999000,1
demo_2026,synthetic,last_touch,3,pay2,o2,p_a,895000,1
demo_2026,synthetic,last_touch,3,pay5,o5,p_unknown,1495000,1
demo_2026,synthetic,last_touch,3,pay6,o6,p_owned,500000,1
demo_2026,synthetic,last_touch,3,pay8part1,o8,p_a,500000,1
demo_2026,synthetic,last_touch,3,pay8part2,o8,p_b,500000,1
demo_2026,synthetic,first_touch,3,pay1,o1,p_a,999000,1
demo_2026,synthetic,first_touch,3,pay2,o2,p_a,895000,1
demo_2026,synthetic,first_touch,3,pay5,o5,p_unknown,1495000,1
demo_2026,synthetic,first_touch,3,pay6,o6,p_owned,500000,1
demo_2026,synthetic,first_touch,3,pay8part1,o8,p_a,500000,1
demo_2026,synthetic,first_touch,3,pay8part2,o8,p_a,500000,1
demo_2026,synthetic,linear,3,pay1,o1,p_a,499500,0.5
demo_2026,synthetic,linear,3,pay1,o1,p_b,499500,0.5
demo_2026,synthetic,linear,3,pay2,o2,p_a,895000,1
demo_2026,synthetic,linear,3,pay5,o5,p_unknown,1495000,1
demo_2026,synthetic,linear,3,pay6,o6,p_owned,500000,1
demo_2026,synthetic,linear,3,pay8part1,o8,p_a,500000,1
demo_2026,synthetic,linear,3,pay8part2,o8,p_a,250000,0.5
demo_2026,synthetic,linear,3,pay8part2,o8,p_b,250000,0.5
demo_2026,synthetic,time_decay,3,pay1,o1,p_a,442051,0.4424933340244421033281650107
demo_2026,synthetic,time_decay,3,pay1,o1,p_b,556949,0.5575066659755578966718349893
demo_2026,synthetic,time_decay,3,pay2,o2,p_a,895000,1
demo_2026,synthetic,time_decay,3,pay5,o5,p_unknown,1495000,1
demo_2026,synthetic,time_decay,3,pay6,o6,p_owned,500000,1
demo_2026,synthetic,time_decay,3,pay8part1,o8,p_a,500000,1
demo_2026,synthetic,time_decay,3,pay8part2,o8,p_a,221247,0.4424933340244421033281650107
demo_2026,synthetic,time_decay,3,pay8part2,o8,p_b,278753,0.5575066659755578966718349893
demo_2026,synthetic,position_based,3,pay1,o1,p_a,499500,0.5
demo_2026,synthetic,position_based,3,pay1,o1,p_b,499500,0.5
demo_2026,synthetic,position_based,3,pay2,o2,p_a,895000,1
demo_2026,synthetic,position_based,3,pay5,o5,p_unknown,1495000,1
demo_2026,synthetic,position_based,3,pay6,o6,p_owned,500000,1
demo_2026,synthetic,position_based,3,pay8part1,o8,p_a,500000,1
demo_2026,synthetic,position_based,3,pay8part2,o8,p_a,250000,0.5
demo_2026,synthetic,position_based,3,pay8part2,o8,p_b,250000,0.5
demo_2026,synthetic,last_touch,7,pay1,o1,p_b,999000,1
demo_2026,synthetic,last_touch,7,pay2,o2,p_a,895000,1
demo_2026,synthetic,last_touch,7,pay5,o5,p_unknown,1495000,1
demo_2026,synthetic,last_touch,7,pay6,o6,p_owned,500000,1
demo_2026,synthetic,last_touch,7,pay8part1,o8,p_a,500000,1
demo_2026,synthetic,last_touch,7,pay8part2,o8,p_b,500000,1
