dataset_id,provenance,model,window_days,placement_id,channel,cost_rub,attributed_rub,romi_pct,romi_status
demo_2026,synthetic,last_touch,1,p_a,Учебный канал А,2000.0,5000.0,150.0,calculated
demo_2026,synthetic,last_touch,1,p_b,Учебный канал Б,3000.0,5000.0,66.66666666666667,calculated
demo_2026,synthetic,last_touch,1,p_owned,Собственный учебный канал,0.0,5000.0,,zero_cost
demo_2026,synthetic,last_touch,1,p_unknown,Канал с неизвестной ценой размещения,,0.0,,unknown_cost
demo_2026,synthetic,last_touch,1,p_unused,Размещение без продаж,1000.0,0.0,-100.0,calculated
demo_2026,synthetic,first_touch,1,p_a,Учебный канал А,2000.0,5000.0,150.0,calculated
demo_2026,synthetic,first_touch,1,p_b,Учебный канал Б,3000.0,5000.0,66.66666666666667,calculated
demo_2026,synthetic,first_touch,1,p_owned,Собственный учебный канал,0.0,5000.0,,zero_cost
demo_2026,synthetic,first_touch,1,p_unknown,Канал с неизвестной ценой размещения,,0.0,,unknown_cost
demo_2026,synthetic,first_touch,1,p_unused,Размещение без продаж,1000.0,0.0,-100.0,calculated
demo_2026,synthetic,linear,1,p_a,Учебный канал А,2000.0,5000.0,150.0,calculated
demo_2026,synthetic,linear,1,p_b,Учебный канал Б,3000.0,5000.0,66.66666666666667,calculated
demo_2026,synthetic,linear,1,p_owned,Собственный учебный канал,0.0,5000.0,,zero_cost
demo_2026,synthetic,linear,1,p_unknown,Канал с неизвестной ценой размещения,,0.0,,unknown_cost
demo_2026,synthetic,linear,1,p_unused,Размещение без продаж,1000.0,0.0,-100.0,calculated
demo_2026,synthetic,time_decay,1,p_a,Учебный канал А,2000.0,5000.0,150.0,calculated
demo_2026,synthetic,time_decay,1,p_b,Учебный канал Б,3000.0,5000.0,66.66666666666667,calculated
demo_2026,synthetic,time_decay,1,p_owned,Собственный учебный канал,0.0,5000.0,,zero_cost
demo_2026,synthetic,time_decay,1,p_unknown,Канал с неизвестной ценой размещения,,0.0,,unknown_cost
demo_2026,synthetic,time_decay,1,p_unused,Размещение без продаж,1000.0,0.0,-100.0,calculated
demo_2026,synthetic,position_based,1,p_a,Учебный канал А,2000.0,5000.0,150.0,calculated
demo_2026,synthetic,position_based,1,p_b,Учебный канал Б,3000.0,5000.0,66.66666666666667,calculated
demo_2026,synthetic,position_based,1,p_owned,Собственный учебный канал,0.0,5000.0,,zero_cost
demo_2026,synthetic,position_based,1,p_unknown,Канал с неизвестной ценой размещения,,0.0,,unknown_cost
demo_2026,synthetic,position_based,1,p_unused,Размещение без продаж,1000.0,0.0,-100.0,calculated
demo_2026,synthetic,last_touch,3,p_a,Учебный канал А,2000.0,13950.0,597.5,calculated
demo_2026,synthetic,last_touch,3,p_b,Учебный канал Б,3000.0,14990.0,399.6666666666667,calculated
demo_2026,synthetic,last_touch,3,p_owned,Собственный учебный канал,0.0,5000.0,,zero_cost
demo_2026,synthetic,last_touch,3,p_unknown,Канал с неизвестной ценой размещения,,14950.0,,unknown_cost
demo_2026,synthetic,last_touch,3,p_unused,Размещение без продаж,1000.0,0.0,-100.0,calculated
demo_2026,synthetic,first_touch,3,p_a,Учебный канал А,2000.0,28940.0,1347.0,calculated
demo_2026,synthetic,first_touch,3,p_b,Учебный канал Б,3000.0,0.0,-100.0,calculated
demo_2026,synthetic,first_touch,3,p_owned,Собственный учебный канал,0.0,5000.0,,zero_cost
demo_2026,synthetic,first_touch,3,p_unknown,Канал с неизвестной ценой размещения,,14950.0,,unknown_cost
demo_2026,synthetic,first_touch,3,p_unused,Размещение без продаж,1000.0,0.0,-100.0,calculated
demo_2026,synthetic,linear,3,p_a,Учебный канал А,2000.0,21445.0,972.25,calculated
demo_2026,synthetic,linear,3,p_b,Учебный канал Б,3000.0,7495.0,149.83333333333334,calculated
demo_2026,synthetic,linear,3,p_owned,Собственный учебный канал,0.0,5000.0,,zero_cost
demo_2026,synthetic,linear,3,p_unknown,Канал с неизвестной ценой размещения,,14950.0,,unknown_cost
demo_2026,synthetic,linear,3,p_unused,Размещение без продаж,1000.0,0.0,-100.0,calculated
demo_2026,synthetic,time_decay,3,p_a,Учебный канал А,2000.0,20582.98,929.149,calculated
demo_2026,synthetic,time_decay,3,p_b,Учебный канал Б,3000.0,8357.02,178.56733333333332,calculated
demo_2026,synthetic,time_decay,3,p_owned,Собственный учебный канал,0.0,5000.0,,zero_cost
demo_2026,synthetic,time_decay,3,p_unknown,Канал с неизвестной ценой размещения,,14950.0,,unknown_cost
demo_2026,synthetic,time_decay,3,p_unused,Размещение без продаж,1000.0,0.0,-100.0,calculated
demo_2026,synthetic,position_based,3,p_a,Учебный канал А,2000.0,21445.0,972.25,calculated
demo_2026,synthetic,position_based,3,p_b,Учебный канал Б,3000.0,7495.0,149.83333333333334,calculated
demo_2026,synthetic,position_based,3,p_owned,Собственный учебный канал,0.0,5000.0,,zero_cost
demo_2026,synthetic,position_based,3,p_unknown,Канал с неизвестной ценой размещения,,14950.0,,unknown_cost
demo_2026,synthetic,position_based,3,p_unused,Размещение без продаж,1000.0,0.0,-100.0,calculated
demo_2026,synthetic,last_touch,7,p_a,Учебный канал А,2000.0,13950.0,597.5,calculated
demo_2026,synthetic,last_touch,7,p_b,Учебный канал Б,3000.0,14990.0,399.6666666666667,calculated
demo_2026,synthetic,last_touch,7,p_owned,Собственный учебный канал,0.0,5000.0,,zero_cost
