placement_id,source_url,observation_id,published_at_source,content_kind,campaign_topics,direct_course_promotion,cost_rub,provenance,summary,tracking_token
tg_1823,https://t.me/postypashki_old/1823,postypashki_old:1823,2026-07-29T19:05:26+03:00,course_promotion,[],True,,real,"Подготовка к стажировкам, рекомендация Алгоритмов СТАРТ и обращение к менеджеру.",p_d8472e104f8a29bd5c9e1a54
tg_1824,https://t.me/postypashki_old/1824,postypashki_old:1824,2026-07-30T19:05:25+03:00,course_promotion,[],True,,real,Преподаватель Backend СТАРТ и приглашение присоединиться к текущему курсу.,p_e7c7ae96e8df53088b3f48fe
tg_1827,https://t.me/postypashki_old/1827,postypashki_old:1827,2026-08-02T11:51:49+03:00,lead_magnet,[],False,,real,Разбор контеста Яндекса за подписку и комментарий в Instagram.,p_0e512ccf4a1363d467e47c7a
tg_1833,https://t.me/postypashki_old/1833,postypashki_old:1833,2026-08-07T17:22:16+03:00,course_demo,[],False,,real,Открытая запись mock-собеседования с Алгоритмов СТАРТ; ссылка на курс.,p_c0f685790c2a1fdd5857c5b5
tg_1836,https://t.me/postypashki_old/1836,postypashki_old:1836,2026-08-09T13:32:11+03:00,sale_reminder,"[""start_sale_august""]",True,,real,Дайджест вакансий и предложение СТАРТ со скидкой 55% до конца 9 августа.,p_d6b03aebc788e23c249c5de7
tg_1837,https://t.me/postypashki_old/1837,postypashki_old:1837,2026-08-09T18:35:40+03:00,sale_reminder,"[""start_sale_august""]",True,,real,Гайд по зарубежным стажировкам и напоминание о последних часах распродажи СТАРТ.,p_e7abd73bf15bfe123d419cc3
tg_1838,https://t.me/postypashki_old/1838,postypashki_old:1838,2026-08-10T16:26:59+03:00,sale_extension,"[""start_sale_august""]",True,,real,Распродажу СТАРТ продлевают до конца 10 августа; отзыв ученицы.,p_60a5edbea147f5f5ed68264e
tg_1840,https://t.me/postypashki_old/1840,postypashki_old:1840,2026-08-10T20:33:06+03:00,sale_reminder,"[""start_sale_august""]",True,,real,История ученицы и напоминание о последних четырёх часах скидки СТАРТ.,p_0663220e42f6a0da10b8e2ff
tg_1843,https://t.me/postypashki_old/1843,postypashki_old:1843,2026-08-11T18:50:13+03:00,course_promotion,[],True,,real,"Советы по поиску работы и предложение карьерного блока, базы рефералов на ПРО.",p_30bfcc39ae833ddcf225f3c6
tg_1844,https://t.me/postypashki_old/1844,postypashki_old:1844,2026-08-12T19:05:42+03:00,course_related_content,[],False,,real,Гайд по аналитическим собеседованиям на опыте выпускницы Аналитики ПРО.,p_fa93b56bb903c8cc49c20b79
tg_1848,https://t.me/postypashki_old/1848,postypashki_old:1848,2026-08-14T19:52:44+03:00,course_related_content,[],False,,real,Обзор работы в VK с историей студентов и ссылкой на карьерные курсы.,p_5e393f76adfeff20a1cacbd5
tg_1852,https://t.me/postypashki_old/1852,postypashki_old:1852,2026-08-16T19:39:39+03:00,course_promotion,[],True,,real,Гайд по LinkedIn с приглашением изучать карьеру за рубежом на ПРО.,p_ab259fa1956c39538fda87eb
tg_1854,https://t.me/postypashki_old/1854,postypashki_old:1854,2026-08-17T19:05:47+03:00,course_related_content,[],False,,real,Гайд по собеседованиям аналитика Ozon и ссылка на карьерные курсы.,p_0c41aace530c18ca2c5d32e0
tg_1856,https://t.me/postypashki_old/1856,postypashki_old:1856,2026-08-19T18:58:14+03:00,course_related_content,[],False,,real,Опыт выпускника на собеседованиях в HFT-фонд; ссылки на курсы и открытую базу.,p_bac70200ae2618bb6d6602db
tg_1857,https://t.me/postypashki_old/1857,postypashki_old:1857,2026-08-20T19:11:50+03:00,course_related_content,[],False,,real,Подборка стажировок со ссылками на сайт и карьерные курсы.,p_535a1ac6c5b94b2721802bbd
tg_1859,https://t.me/postypashki_old/1859,postypashki_old:1859,2026-08-22T13:19:48+03:00,course_launch,"[""pro_launch_aug22""]",True,,real,Анонс пяти направлений ПРО и курса о работе за рубежом в подарок; цена не указана.,p_209152cd04f2a18cf7d3af25
tg_1860,https://t.me/postypashki_old/1860,postypashki_old:1860,2026-08-23T11:51:41+03:00,course_promotion,"[""pro_launch_aug22""]",True,,real,Обзор рынка с предложением ПРО и нового курса ИИ-агенты ПРО.,p_4ae65a6ad99e151cd965862b
tg_1863,https://t.me/postypashki_old/1863,postypashki_old:1863,2026-08-23T19:20:03+03:00,course_promotion,"[""pro_launch_aug22""]",True,,real,Разбор собеседований Go-разработчика Авито с приглашением на Backend ПРО.,p_7204886ba2173b6f8b5a8bc9
tg_1870,https://t.me/postypashki_old/1870,postypashki_old:1870,2026-08-28T19:05:59+03:00,course_promotion,"[""tbank_selection"", ""yandex_selection""]",True,,real,"Дайджест отборов: разборы Т-Банка, Яндекса и Авито на курсах; дедлайн Т-Банка 6 сентября.",p_fc84c9a755eb4331e1930beb
tg_1872,https://t.me/postypashki_old/1872,postypashki_old:1872,2026-08-29T21:58:58+03:00,course_promotion,"[""tbank_selection"", ""yandex_selection""]",True,,real,Новый контест Яндекса и приглашение на пять направлений ПРО с разборами отборов.,p_137fab8b639dfa3cf825473b
tg_1874,https://t.me/postypashki_old/1874,postypashki_old:1874,2026-08-30T16:26:37+03:00,webinar_promotion,"[""ai_webinar""]",True,,real,Запись AI-вебинара с обещанием промокода; его размер и срок не указаны.,p_91bdc312832e98323494b1db
