dataset,provenance,as_of,model,window_days,half_life_days,placement_id,channel,campaign_id,creative_id,kind,cost_rub,attributed_rub,buyers,orders,payments,romi_pct,romi_status
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1823,@postypashki_old,owned_history,post_1823,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1824,@postypashki_old,owned_history,post_1824,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1827,@postypashki_old,owned_history,post_1827,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1833,@postypashki_old,owned_history,post_1833,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1836,@postypashki_old,owned_history,post_1836,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1837,@postypashki_old,owned_history,post_1837,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1838,@postypashki_old,owned_history,post_1838,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1840,@postypashki_old,owned_history,post_1840,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1843,@postypashki_old,owned_history,post_1843,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1844,@postypashki_old,owned_history,post_1844,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1848,@postypashki_old,owned_history,post_1848,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1852,@postypashki_old,owned_history,post_1852,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1854,@postypashki_old,owned_history,post_1854,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1856,@postypashki_old,owned_history,post_1856,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1857,@postypashki_old,owned_history,post_1857,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1859,@postypashki_old,owned_history,post_1859,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1860,@postypashki_old,owned_history,post_1860,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1863,@postypashki_old,owned_history,post_1863,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1870,@postypashki_old,owned_history,post_1870,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1872,@postypashki_old,owned_history,post_1872,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1874,@postypashki_old,owned_history,post_1874,owned,,0,0,0,0,,unknown_cost
