evidence,n_total,p_control,positive_value_cv,assumed_margin,sigma_cm_per_eligible_rub,mde_cm_per_eligible_rub,incremental_ad_cost_rub,cost_per_treatment_unit_rub,approx_effect_needed_to_detect_profit_rub_per_unit
hypothetical_primary_metric_planning,1000,0.02,0.0,0.6,789.7968475796177,139.94237137123883,60000,120.0,259.94237137123883
hypothetical_primary_metric_planning,1000,0.02,0.75,0.6,990.8660408744474,175.56938077955877,60000,120.0,295.56938077955874
hypothetical_primary_metric_planning,1000,0.02,1.5,0.6,1433.8496652343656,254.06067770171282,60000,120.0,374.06067770171285
hypothetical_primary_metric_planning,2000,0.02,0.0,0.6,789.7968475796177,98.95419977192917,60000,60.0,158.95419977192915
hypothetical_primary_metric_planning,2000,0.02,0.75,0.6,990.8660408744474,124.14629971794912,60000,60.0,184.14629971794912
hypothetical_primary_metric_planning,2000,0.02,1.5,0.6,1433.8496652343656,179.64802803573104,60000,60.0,239.64802803573104
hypothetical_primary_metric_planning,5000,0.02,0.0,0.6,789.7968475796177,62.58413106372211,60000,24.0,86.58413106372211
hypothetical_primary_metric_planning,5000,0.02,0.75,0.6,990.8660408744474,78.5170140381277,60000,24.0,102.5170140381277
hypothetical_primary_metric_planning,5000,0.02,1.5,0.6,1433.8496652343656,113.61938915013899,60000,24.0,137.619389150139
hypothetical_primary_metric_planning,10000,0.02,0.0,0.6,789.7968475796177,44.25366346982556,60000,12.0,56.25366346982556
hypothetical_primary_metric_planning,10000,0.02,0.75,0.6,990.8660408744474,55.51991306487944,60000,12.0,67.51991306487943
hypothetical_primary_metric_planning,10000,0.02,1.5,0.6,1433.8496652343656,80.34104054233653,60000,12.0,92.34104054233653
