date,observed,orders,buyers,items,amount_cents,amount_rub
2026-08-04,True,7,6,9,8413000,84130.0
2026-08-05,True,6,6,8,6711000,67110.0
2026-08-06,True,7,7,8,6244500,62445.0
2026-08-07,True,5,5,6,5499500,54995.0
2026-08-08,True,35,35,49,27501500,275015.0
2026-08-09,True,68,68,92,52409167,524091.67
2026-08-10,True,29,29,36,20559000,205590.0
2026-08-11,True,12,12,17,9633000,96330.0
2026-08-12,True,14,14,17,11493000,114930.0
2026-08-13,True,9,9,9,7281000,72810.0
2026-08-14,True,9,9,10,7669000,76690.0
2026-08-15,True,5,5,7,4834500,48345.0
2026-08-16,True,5,5,6,4308500,43085.0
2026-08-17,True,3,3,4,3318500,33185.0
2026-08-18,True,6,6,7,6111000,61110.0
2026-08-19,True,5,5,7,5638000,56380.0
2026-08-20,True,6,6,6,5258500,52585.0
2026-08-21,True,3,3,3,2814500,28145.0
2026-08-22,True,26,26,32,25115000,251150.0
2026-08-23,True,39,39,49,39449500,394495.0
2026-08-24,True,19,19,22,18407300,184073.0
2026-08-25,True,15,15,18,14165000,141650.0
2026-08-26,True,9,9,10,8407500,84075.0
2026-08-27,True,10,10,18,13742500,137425.0
2026-08-28,True,6,6,7,6020000,60200.0
2026-08-29,True,10,10,13,9552500,95525.0
2026-08-30,True,19,19,23,17634000,176340.0
2026-08-31,True,19,19,25,20618800,206188.0
2026-09-01,True,19,19,28,22688000,226880.0
2026-09-02,True,23,23,28,21728000,217280.0
2026-09-03,True,20,20,22,18040000,180400.0
2026-09-04,True,26,26,33,26958500,269585.0
2026-09-05,True,49,48,59,48468400,484684.0
2026-09-06,True,45,45,54,39607500,396075.0
2026-09-07,True,17,17,20,17337500,173375.0
2026-09-08,True,6,6,8,6475000,64750.0
2026-09-09,True,16,16,24,19360000,193600.0
2026-09-10,True,1,1,1,995000,9950.0
