metric,split,model,origin,train_end,date,lead_day,actual,forecast,residual
revenue_rub,development,mean7,2026-08-18,2026-08-17,2026-08-18,1,61110.0,69339.28571428571,-8229.28571428571
revenue_rub,development,mean7,2026-08-18,2026-08-17,2026-08-19,2,56380.0,69339.28571428571,-12959.28571428571
revenue_rub,development,mean7,2026-08-18,2026-08-17,2026-08-20,3,52585.0,69339.28571428571,-16754.28571428571
revenue_rub,development,mean7,2026-08-18,2026-08-17,2026-08-21,4,28145.0,69339.28571428571,-41194.28571428571
revenue_rub,development,mean7,2026-08-18,2026-08-17,2026-08-22,5,251150.0,69339.28571428571,181810.7142857143
revenue_rub,development,mean7,2026-08-18,2026-08-17,2026-08-23,6,394495.0,69339.28571428571,325155.7142857143
revenue_rub,development,mean7,2026-08-18,2026-08-17,2026-08-24,7,184073.0,69339.28571428571,114733.71428571429
revenue_rub,development,mean7,2026-08-19,2026-08-18,2026-08-19,1,56380.0,64307.857142857145,-7927.857142857145
revenue_rub,development,mean7,2026-08-19,2026-08-18,2026-08-20,2,52585.0,64307.857142857145,-11722.857142857145
revenue_rub,development,mean7,2026-08-19,2026-08-18,2026-08-21,3,28145.0,64307.857142857145,-36162.857142857145
revenue_rub,development,mean7,2026-08-19,2026-08-18,2026-08-22,4,251150.0,64307.857142857145,186842.14285714284
revenue_rub,development,mean7,2026-08-19,2026-08-18,2026-08-23,5,394495.0,64307.857142857145,330187.14285714284
revenue_rub,development,mean7,2026-08-19,2026-08-18,2026-08-24,6,184073.0,64307.857142857145,119765.14285714286
revenue_rub,development,mean7,2026-08-19,2026-08-18,2026-08-25,7,141650.0,64307.857142857145,77342.14285714286
revenue_rub,development,mean7,2026-08-20,2026-08-19,2026-08-20,1,52585.0,55943.57142857143,-3358.5714285714275
revenue_rub,development,mean7,2026-08-20,2026-08-19,2026-08-21,2,28145.0,55943.57142857143,-27798.571428571428
revenue_rub,development,mean7,2026-08-20,2026-08-19,2026-08-22,3,251150.0,55943.57142857143,195206.42857142858
revenue_rub,development,mean7,2026-08-20,2026-08-19,2026-08-23,4,394495.0,55943.57142857143,338551.4285714286
revenue_rub,development,mean7,2026-08-20,2026-08-19,2026-08-24,5,184073.0,55943.57142857143,128129.42857142858
revenue_rub,development,mean7,2026-08-20,2026-08-19,2026-08-25,6,141650.0,55943.57142857143,85706.42857142858
revenue_rub,development,mean7,2026-08-20,2026-08-19,2026-08-26,7,84075.0,55943.57142857143,28131.428571428572
revenue_rub,development,mean7,2026-08-21,2026-08-20,2026-08-21,1,28145.0,53054.28571428572,-24909.285714285717
revenue_rub,development,mean7,2026-08-21,2026-08-20,2026-08-22,2,251150.0,53054.28571428572,198095.7142857143
revenue_rub,development,mean7,2026-08-21,2026-08-20,2026-08-23,3,394495.0,53054.28571428572,341440.71428571426
revenue_rub,development,mean7,2026-08-21,2026-08-20,2026-08-24,4,184073.0,53054.28571428572,131018.71428571429
revenue_rub,development,mean7,2026-08-21,2026-08-20,2026-08-25,5,141650.0,53054.28571428572,88595.71428571429
revenue_rub,development,mean7,2026-08-21,2026-08-20,2026-08-26,6,84075.0,53054.28571428572,31020.714285714283
revenue_rub,development,mean7,2026-08-21,2026-08-20,2026-08-27,7,137425.0,53054.28571428572,84370.71428571429
revenue_rub,development,mean7,2026-08-22,2026-08-21,2026-08-22,1,251150.0,46119.28571428572,205030.7142857143
revenue_rub,development,mean7,2026-08-22,2026-08-21,2026-08-23,2,394495.0,46119.28571428572,348375.71428571426
revenue_rub,development,mean7,2026-08-22,2026-08-21,2026-08-24,3,184073.0,46119.28571428572,137953.7142857143
revenue_rub,development,mean7,2026-08-22,2026-08-21,2026-08-25,4,141650.0,46119.28571428572,95530.71428571429
revenue_rub,development,mean7,2026-08-22,2026-08-21,2026-08-26,5,84075.0,46119.28571428572,37955.71428571428
revenue_rub,development,mean7,2026-08-22,2026-08-21,2026-08-27,6,137425.0,46119.28571428572,91305.71428571429
revenue_rub,development,mean7,2026-08-22,2026-08-21,2026-08-28,7,60200.0,46119.28571428572,14080.714285714283
revenue_rub,development,mean7,2026-08-23,2026-08-22,2026-08-23,1,394495.0,75091.42857142857,319403.5714285714
revenue_rub,development,mean7,2026-08-23,2026-08-22,2026-08-24,2,184073.0,75091.42857142857,108981.57142857143
revenue_rub,development,mean7,2026-08-23,2026-08-22,2026-08-25,3,141650.0,75091.42857142857,66558.57142857143
revenue_rub,development,mean7,2026-08-23,2026-08-22,2026-08-26,4,84075.0,75091.42857142857,8983.571428571435
revenue_rub,development,mean7,2026-08-23,2026-08-22,2026-08-27,5,137425.0,75091.42857142857,62333.571428571435
revenue_rub,development,mean7,2026-08-23,2026-08-22,2026-08-28,6,60200.0,75091.42857142857,-14891.428571428565
revenue_rub,development,mean7,2026-08-23,2026-08-22,2026-08-29,7,95525.0,75091.42857142857,20433.571428571435
revenue_rub,development,mean7,2026-08-24,2026-08-23,2026-08-24,1,184073.0,125292.85714285714,58780.142857142855
revenue_rub,development,mean7,2026-08-24,2026-08-23,2026-08-25,2,141650.0,125292.85714285714,16357.142857142855
revenue_rub,development,mean7,2026-08-24,2026-08-23,2026-08-26,3,84075.0,125292.85714285714,-41217.857142857145
revenue_rub,development,mean7,2026-08-24,2026-08-23,2026-08-27,4,137425.0,125292.85714285714,12132.142857142855
revenue_rub,development,mean7,2026-08-24,2026-08-23,2026-08-28,5,60200.0,125292.85714285714,-65092.857142857145
revenue_rub,development,mean7,2026-08-24,2026-08-23,2026-08-29,6,95525.0,125292.85714285714,-29767.857142857145
revenue_rub,development,mean7,2026-08-24,2026-08-23,2026-08-30,7,176340.0,125292.85714285714,51047.142857142855
revenue_rub,development,mean7,2026-08-25,2026-08-24,2026-08-25,1,141650.0,146848.2857142857,-5198.28571428571
revenue_rub,development,mean7,2026-08-25,2026-08-24,2026-08-26,2,84075.0,146848.2857142857,-62773.28571428571
revenue_rub,development,mean7,2026-08-25,2026-08-24,2026-08-27,3,137425.0,146848.2857142857,-9423.28571428571
revenue_rub,development,mean7,2026-08-25,2026-08-24,2026-08-28,4,60200.0,146848.2857142857,-86648.28571428571
revenue_rub,development,mean7,2026-08-25,2026-08-24,2026-08-29,5,95525.0,146848.2857142857,-51323.28571428571
revenue_rub,development,mean7,2026-08-25,2026-08-24,2026-08-30,6,176340.0,146848.2857142857,29491.71428571429
revenue_rub,development,mean7,2026-08-25,2026-08-24,2026-08-31,7,206188.0,146848.2857142857,59339.71428571429
revenue_rub,development,mean7,2026-08-26,2026-08-25,2026-08-26,1,84075.0,158354.0,-74279.0
revenue_rub,development,mean7,2026-08-26,2026-08-25,2026-08-27,2,137425.0,158354.0,-20929.0
revenue_rub,development,mean7,2026-08-26,2026-08-25,2026-08-28,3,60200.0,158354.0,-98154.0
revenue_rub,development,mean7,2026-08-26,2026-08-25,2026-08-29,4,95525.0,158354.0,-62829.0
revenue_rub,development,mean7,2026-08-26,2026-08-25,2026-08-30,5,176340.0,158354.0,17986.0
revenue_rub,development,mean7,2026-08-26,2026-08-25,2026-08-31,6,206188.0,158354.0,47834.0
revenue_rub,development,mean7,2026-08-26,2026-08-25,2026-09-01,7,226880.0,158354.0,68526.0
