course,active_days,days_without_sales,items,amount_cents,revenue_rub
AI агенты,18,20,91,71167300,711673.0
Backend про,18,20,55,43834250,438342.5
Backend старт,14,24,39,26339666,263396.66
Data Engenering,3,35,4,2484500,24845.0
Data Science,7,31,9,6929500,69295.0
ML про,25,13,90,71511000,715110.0
ML старт,24,14,80,52327833,523278.33
АВ тестам,8,30,8,4961000,49610.0
Алгоритмы,14,24,30,20948250,209482.5
Алгоритмы про,16,22,35,26840900,268409.0
Алгоритмы старт,23,15,88,52985168,529851.68
Аналитика про,28,10,93,74094150,740941.5
Аналитика старт,25,13,91,64161650,641616.5
Дискретка,4,34,4,3441500,34415.0
К ВУЗу,15,23,26,18025000,180250.0
Линейная алгебра,14,24,19,18066500,180665.0
Мат анализ,13,25,20,19138250,191382.5
Теория вероятностей,11,27,13,13210750,132107.5
