date,orders,amount_cents,items,revenue_rub,mean_order_rub
2026-08-04,7,8413000,9,84130.0,12018.57142857143
2026-08-05,6,6711000,8,67110.0,11185.0
2026-08-06,7,6244500,8,62445.0,8920.714285714286
2026-08-07,5,5499500,6,54995.0,10999.0
2026-08-08,35,27501500,49,275015.0,7857.571428571428
2026-08-09,68,52409167,92,524091.67,7707.230441176471
2026-08-10,29,20559000,36,205590.0,7089.310344827586
2026-08-11,12,9633000,17,96330.0,8027.5
2026-08-12,14,11493000,17,114930.0,8209.285714285714
2026-08-13,9,7281000,9,72810.0,8090.0
2026-08-14,9,7669000,10,76690.0,8521.111111111111
2026-08-15,5,4834500,7,48345.0,9669.0
2026-08-16,5,4308500,6,43085.0,8617.0
2026-08-17,3,3318500,4,33185.0,11061.666666666666
2026-08-18,6,6111000,7,61110.0,10185.0
2026-08-19,5,5638000,7,56380.0,11276.0
2026-08-20,6,5258500,6,52585.0,8764.166666666666
2026-08-21,3,2814500,3,28145.0,9381.666666666666
2026-08-22,26,25115000,32,251150.0,9659.615384615385
2026-08-23,39,39449500,49,394495.0,10115.25641025641
2026-08-24,19,18407300,22,184073.0,9688.052631578947
2026-08-25,15,14165000,18,141650.0,9443.333333333334
2026-08-26,9,8407500,10,84075.0,9341.666666666666
2026-08-27,10,13742500,18,137425.0,13742.5
2026-08-28,6,6020000,7,60200.0,10033.333333333334
2026-08-29,10,9552500,13,95525.0,9552.5
2026-08-30,19,17634000,23,176340.0,9281.052631578947
2026-08-31,19,20618800,25,206188.0,10852.0
2026-09-01,19,22688000,28,226880.0,11941.052631578947
2026-09-02,23,21728000,28,217280.0,9446.95652173913
2026-09-03,20,18040000,22,180400.0,9020.0
2026-09-04,26,26958500,33,269585.0,10368.653846153846
2026-09-05,49,48468400,59,484684.0,9891.510204081633
2026-09-06,45,39607500,54,396075.0,8801.666666666666
2026-09-07,17,17337500,20,173375.0,10198.529411764706
2026-09-08,6,6475000,8,64750.0,10791.666666666666
2026-09-09,16,19360000,24,193600.0,12100.0
2026-09-10,1,995000,1,9950.0,9950.0
