metric,date,lead_day,model,point,empirical_lower,empirical_upper,absolute_error_p80,stress_lower,stress_upper,signed_error_p10,signed_error_p90,residual_windows
revenue_rub,2026-09-11,1,weekday_shrunk,126654.54828947368,14995.888413857916,238313.20816508943,111658.65987561576,0.0,321246.9157894737,-53306.37281960784,132921.47387365595,18
revenue_rub,2026-09-12,2,weekday_shrunk,193164.94828947366,79034.35642672855,307295.5401522188,114130.5918627451,0.0,524535.6592572156,-55382.432406249995,180749.4130166667,18
revenue_rub,2026-09-13,3,weekday_shrunk,231101.71528947365,80189.10310379718,382014.3274751501,150912.61218567647,0.0,563160.4624561403,-54323.68172083332,187776.4299494782,18
revenue_rub,2026-09-14,4,weekday_shrunk,157934.14828947367,6289.994256616454,309578.3023223309,151644.15403285722,0.0,491364.2444963702,-54632.073266469044,187687.34848541667,18
revenue_rub,2026-09-15,5,weekday_shrunk,133930.5482894737,0.0,285833.8047061404,151903.25641666676,0.0,469001.37561090227,-55089.92439907135,188038.4417698276,18
revenue_rub,2026-09-16,6,weekday_shrunk,138807.631622807,0.0,291311.34064120176,152503.70901839476,0.0,475257.5405116959,-54741.119349999986,188541.80235714288,18
revenue_rub,2026-09-17,7,weekday_shrunk,120660.96495614035,8614.029720962484,232707.90019131821,112046.93523517787,0.0,458022.03860998654,-59962.45080459769,181319.4671616667,18
orders,2026-09-11,1,weekday_shrunk,13.163157894736843,4.049824561403508,22.276491228070178,9.113333333333335,0.0,28.73977079796265,-7.305882352941175,12.168058076225048,18
orders,2026-09-12,2,weekday_shrunk,20.763157894736842,10.180804953560369,31.345510835913316,10.582352941176474,0.0,52.71477079796265,-7.564732142857142,14.672500000000001,18
orders,2026-09-13,3,weekday_shrunk,25.863157894736844,12.8562951496388,38.87002063983489,13.006862745098044,0.0,57.896491228070175,-7.249999999999999,17.38117352614016,18
orders,2026-09-14,4,weekday_shrunk,16.96315789473684,4.06267712550607,29.863638663967613,12.900480769230771,0.0,49.13557168784028,-7.413871635610767,17.460000000000004,18
orders,2026-09-15,5,weekday_shrunk,13.67982456140351,0.9938245614035068,26.365824561403514,12.686000000000003,0.0,45.92982456140351,-7.298910068426197,17.560057471264372,18
orders,2026-09-16,6,weekday_shrunk,14.346491228070175,1.9155388471177908,26.77744360902256,12.430952380952384,0.0,46.67982456140351,-7.276666666666669,17.64615384615385,18
orders,2026-09-17,7,weekday_shrunk,12.67982456140351,1.1047053468172532,24.254943775989766,11.575119214586257,0.0,45.10290148448043,-7.411941923774954,17.613000000000003,18
