split,model,horizon,folds,total_mae_rub,total_wape_pct
development,mean7,1,11,76930.23376623377,58.309072453473846
development,mean7,3,11,240765.5064935065,58.301173090192904
development,mean7,7,11,420206.9090909091,38.861962346335424
development,mean14,1,11,83670.03467532467,63.41748718576681
development,mean14,3,11,166601.12987012987,40.342329144403884
development,mean14,7,11,262449.27181818185,24.272075252848307
development,mean_all,1,11,80870.90225168629,61.29589197792231
development,mean_all,3,11,181411.07036152913,43.928544282193194
development,mean_all,7,11,226087.51979814333,20.909234216020405
development,seasonal7,1,11,99343.0,75.2967708683597
development,seasonal7,3,11,286018.54545454547,69.25915995363063
development,seasonal7,7,11,420206.9090909091,38.861962346335424
development,weekday_shrunk,1,11,63434.33741372193,48.079892588579334
development,weekday_shrunk,3,11,144786.34018888144,35.0598954284807
development,weekday_shrunk,7,11,210508.06368695048,19.468400608406927
development,ewma03,1,11,71333.00728834102,54.06666906718386
development,ewma03,3,11,244316.81337025185,59.16111918435282
development,ewma03,7,11,492201.2831425453,45.52021234892493
holdout,mean7,1,1,103468.85714285713,38.380791640060515
holdout,mean7,3,1,651995.5714285714,56.678312872373084
holdout,mean7,7,1,429205.99999999994,26.959854122344012
holdout,mean14,1,1,99311.71428571429,36.838738908216065
holdout,mean14,3,1,639524.142857143,55.59416512427091
holdout,mean14,7,1,400106.00000000006,25.13198649011099
holdout,mean_all,1,1,130467.17193548387,48.39556055992873
holdout,mean_all,3,1,732990.5158064517,63.71924535673257
holdout,mean_all,7,1,618194.2035483872,38.830830759456205
holdout,seasonal7,1,1,209385.0,77.66938071480239
holdout,seasonal7,3,1,818279.0,71.13341748207492
holdout,seasonal7,7,1,429206.0,26.95985412234402
holdout,weekday_shrunk,1,1,172522.33596774194,63.995524961604666
holdout,weekday_shrunk,3,1,688157.6741532257,59.821903200540504
holdout,weekday_shrunk,7,1,607413.5180241936,38.153660102309935
holdout,ewma03,1,1,83640.5456533338,31.025667471607765
holdout,ewma03,3,1,592510.6369600014,51.507256695388634
holdout,ewma03,7,1,290407.8195733366,18.24147950328084
