metric,split,model,label,folds,forecast_day_pairs,weekly_mae,weekly_wape_pct,daily_mae,daily_wape_pct,daily_rmse,bias_pct
revenue_rub,development,mean7,Среднее за 7 дней,11,77,420206.9090909091,38.861962346335424,82822.97959183673,53.61797750757711,120628.96909983545,-33.43212190795965
revenue_rub,development,mean14,Среднее за 14 дней,11,77,262449.27181818185,24.272075252848307,76261.03398886828,49.369902233301595,100780.04627490955,-24.272075252848307
revenue_rub,development,mean_all,Среднее всей истории,11,77,226087.51979814333,20.909234216020405,74820.95519387351,48.4376233800209,100198.83751978984,-19.915103498866355
revenue_rub,development,seasonal7,Повтор прошлой недели,11,77,420206.9090909091,38.861962346335424,114803.1948051948,74.32134351116285,147596.01078655175,-33.43212190795965
revenue_rub,development,weekday_shrunk,День недели со сглаживанием,11,77,210508.06368695048,19.468400608406927,67327.62355820731,43.58658700004543,81184.71789269548,-18.504378220421682
revenue_rub,development,ewma03,Экспоненциальное сглаживание,11,77,492201.2831425454,45.52021234892493,87205.37649914736,56.455055574116706,121991.31949743134,-25.67264966675183
revenue_rub,holdout,mean7,Среднее за 7 дней,1,7,429206.0,26.95985412234402,134895.79591836734,59.31277022627063,169260.31198152044,-26.95985412234402
revenue_rub,holdout,mean14,Среднее за 14 дней,1,7,400106.0,25.131986490110986,133114.16326530612,58.52939838388506,167799.11630425768,-25.131986490110986
revenue_rub,holdout,mean_all,Среднее всей истории,1,7,618194.2035483872,38.830830759456205,146466.50225806452,64.40033164217586,180800.36855755423,-38.830830759456205
revenue_rub,holdout,seasonal7,Повтор прошлой недели,1,7,429206.0,26.95985412234402,172478.85714285713,75.83778836810365,207208.332189059,-26.95985412234402
revenue_rub,holdout,weekday_shrunk,День недели со сглаживанием,1,7,607413.5180241936,38.153660102309935,137057.45345046083,60.26323644084811,167134.6671877251,-38.153660102309935
revenue_rub,holdout,ewma03,Экспоненциальное сглаживание,1,7,290407.8195733365,18.241479503280836,129989.22080761912,57.15538229464182,163127.75252977372,-18.241479503280836
orders,development,mean7,Среднее за 7 дней,11,77,42.18181818181818,39.42225998300765,8.278293135435993,54.15705789537565,11.88004360230125,-30.416312659303312
orders,development,mean14,Среднее за 14 дней,11,77,13.272727272727273,12.404418011894647,7.465677179962895,48.84087874742081,9.500268524668991,-11.894647408666101
orders,development,mean_all,Среднее всей истории,11,77,15.167239532403542,14.174990217199573,7.471401203880385,48.87832563286233,9.532263997875424,-5.406163461966701
orders,development,seasonal7,Повтор прошлой недели,11,77,42.18181818181818,39.42225998300765,11.220779220779221,73.4069668649108,14.519132026577719,-30.416312659303312
orders,development,weekday_shrunk,День недели со сглаживанием,11,77,13.151801584383588,12.291403349891203,5.822790587053893,38.093022532128266,6.791596321005515,-3.347375132286094
orders,development,ewma03,Экспоненциальное сглаживание,11,77,48.97957684592034,45.775305463476954,8.704031988389003,56.94226534460095,12.097136518420792,-22.715717779146026
orders,holdout,mean7,Среднее за 7 дней,1,7,43.999999999999986,27.499999999999993,13.918367346938776,60.892857142857146,18.140044776399975,-27.499999999999993
orders,holdout,mean14,Среднее за 14 дней,1,7,41.500000000000014,25.937500000000007,13.86734693877551,60.66964285714286,18.019405639250056,-25.937500000000007
orders,holdout,mean_all,Среднее всей истории,1,7,54.32258064516128,33.9516129032258,14.38709677419355,62.94354838709678,18.702255003155695,-33.9516129032258
orders,holdout,seasonal7,Повтор прошлой недели,1,7,44,27.500000000000004,18.0,78.75,21.313979316066586,-27.500000000000004
orders,holdout,weekday_shrunk,День недели со сглаживанием,1,7,52.86129032258064,33.038306451612904,13.03640552995392,57.0342741935484,16.515476516983206,-33.038306451612904
orders,holdout,ewma03,Экспоненциальное сглаживание,1,7,28.413045879386317,17.758153674616448,14.114019471849259,61.74883518934051,17.49361468122543,-17.758153674616448
