date,orders,sales_rub,export_messages,export_text_messages,export_media_only_messages,course_promo_text_messages,free_week_text_messages,third_party_promo_text_messages,tbank_course_promo_text_messages,identified_start_sale_day,identified_free_week_day,pro_announcement_day,tbank_deadline_in_posts,total_external_placements,ad_spend_rub,calendar_coverage,date_basis
2026-08-04,7,84130.0,1,1,0,0,0,0,0,0,0,0,0,,,export_observed_lower_bound,posts_source_UTC+03; sales_source_local_timezone_unknown
2026-08-05,6,67110.0,1,1,0,0,0,0,0,0,0,0,0,,,export_observed_lower_bound,posts_source_UTC+03; sales_source_local_timezone_unknown
2026-08-06,7,62445.0,1,1,0,0,0,0,0,0,0,0,0,,,export_observed_lower_bound,posts_source_UTC+03; sales_source_local_timezone_unknown
2026-08-07,5,54995.0,1,1,0,0,0,0,0,0,0,0,0,,,export_observed_lower_bound,posts_source_UTC+03; sales_source_local_timezone_unknown
2026-08-08,35,275015.0,1,1,0,0,0,1,0,1,0,0,0,,,export_observed_lower_bound,posts_source_UTC+03; sales_source_local_timezone_unknown
2026-08-09,68,524091.67,2,2,0,2,0,0,0,1,0,0,0,,,export_observed_lower_bound,posts_source_UTC+03; sales_source_local_timezone_unknown
2026-08-10,29,205590.0,4,2,2,2,0,0,0,1,0,0,0,,,export_observed_lower_bound,posts_source_UTC+03; sales_source_local_timezone_unknown
2026-08-11,12,96330.0,1,1,0,1,0,0,0,0,0,0,0,,,export_observed_lower_bound,posts_source_UTC+03; sales_source_local_timezone_unknown
2026-08-12,14,114930.0,1,1,0,0,0,0,0,0,0,0,0,,,export_observed_lower_bound,posts_source_UTC+03; sales_source_local_timezone_unknown
2026-08-13,9,72810.0,2,2,0,0,0,1,0,0,0,0,0,,,export_observed_lower_bound,posts_source_UTC+03; sales_source_local_timezone_unknown
2026-08-14,9,76690.0,2,2,0,0,0,1,0,0,0,0,0,,,export_observed_lower_bound,posts_source_UTC+03; sales_source_local_timezone_unknown
2026-08-15,5,48345.0,0,0,0,0,0,0,0,0,0,0,0,,,export_observed_lower_bound,posts_source_UTC+03; sales_source_local_timezone_unknown
2026-08-16,5,43085.0,4,2,2,1,0,0,0,0,0,0,0,,,export_observed_lower_bound,posts_source_UTC+03; sales_source_local_timezone_unknown
2026-08-17,3,33185.0,2,2,0,0,0,1,0,0,0,0,0,,,export_observed_lower_bound,posts_source_UTC+03; sales_source_local_timezone_unknown
2026-08-18,6,61110.0,1,1,0,0,0,0,0,0,0,0,0,,,export_observed_lower_bound,posts_source_UTC+03; sales_source_local_timezone_unknown
2026-08-19,5,56380.0,1,1,0,0,0,0,0,0,0,0,0,,,export_observed_lower_bound,posts_source_UTC+03; sales_source_local_timezone_unknown
2026-08-20,6,52585.0,1,1,0,0,0,0,0,0,0,0,0,,,export_observed_lower_bound,posts_source_UTC+03; sales_source_local_timezone_unknown
2026-08-21,3,28145.0,0,0,0,0,0,0,0,0,0,0,0,,,export_observed_lower_bound,posts_source_UTC+03; sales_source_local_timezone_unknown
2026-08-22,26,251150.0,1,1,0,1,0,0,0,0,0,1,0,,,export_observed_lower_bound,posts_source_UTC+03; sales_source_local_timezone_unknown
2026-08-23,39,394495.0,4,2,2,2,0,0,0,0,0,0,0,,,export_observed_lower_bound,posts_source_UTC+03; sales_source_local_timezone_unknown
2026-08-24,19,184073.0,1,1,0,0,0,0,0,0,0,0,0,,,export_observed_lower_bound,posts_source_UTC+03; sales_source_local_timezone_unknown
2026-08-25,15,141650.0,2,1,1,0,0,0,0,0,0,0,0,,,export_observed_lower_bound,posts_source_UTC+03; sales_source_local_timezone_unknown
2026-08-26,9,84075.0,2,2,0,0,0,1,0,0,0,0,0,,,export_observed_lower_bound,posts_source_UTC+03; sales_source_local_timezone_unknown
2026-08-27,10,137425.0,0,0,0,0,0,0,0,0,0,0,0,,,export_observed_lower_bound,posts_source_UTC+03; sales_source_local_timezone_unknown
2026-08-28,6,60200.0,1,1,0,1,0,0,1,0,0,0,0,,,export_observed_lower_bound,posts_source_UTC+03; sales_source_local_timezone_unknown
