observation_id,source_url,evidence_url,provenance,review_status,export_present,content_kind,marketing_target,published_at,published_at_source,publication_date,publication_date_status,media_only,has_media,direct_course_promotion,campaign_ids,activity_start,activity_end,activity_date_basis,summary,products,advertised_prices_rub,marketing_cost_rub,text_sha256,links
postypashki_mems:1373,https://t.me/postypashki_mems/1373,,real_public,secondary_metadata_only,False,sale_candidate,unknown,,,2026-08-08,secondary_date_only,,,,,,,not_inferred,Сторонний обзор отмечает промопост 8 августа; полный текст здесь не проверен.,[],[],,,
postypashki_old:1819,https://t.me/postypashki_old/1819,,real_public,marketing_fields_reviewed,True,content,brand,2026-07-28T16:10:18+00:00,2026-07-28T19:10:18+03:00,2026-07-28,explicit_html_timestamp,False,True,False,[],,,,История о кандидате и резюме; приглашение подписаться.,[],[],,73218e0c2a5d66d363eae01c367588d8b7fd756b687630631eb1d5fc215b8ad2,
postypashki_old:1820,https://t.me/postypashki_old/1820,,real_public,media_metadata_only,True,media_only,unknown,2026-07-28T16:10:18+00:00,2026-07-28T19:10:18+03:00,2026-07-28,explicit_html_timestamp,True,True,False,[],,,,Медиасообщение без подписи; содержимое медиа не выгружено.,[],[],,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
postypashki_old:1821,https://t.me/postypashki_old/1821,,real_public,media_metadata_only,True,media_only,unknown,2026-07-28T16:10:18+00:00,2026-07-28T19:10:18+03:00,2026-07-28,explicit_html_timestamp,True,True,False,[],,,,Медиасообщение без подписи; содержимое медиа не выгружено.,[],[],,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
postypashki_old:1822,https://t.me/postypashki_old/1822,,real_public,media_metadata_only,True,media_only,unknown,2026-07-28T16:10:18+00:00,2026-07-28T19:10:18+03:00,2026-07-28,explicit_html_timestamp,True,True,False,[],,,,Медиасообщение без подписи; содержимое медиа не выгружено.,[],[],,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
postypashki_old:1823,https://t.me/postypashki_old/1823,,real_public,marketing_fields_reviewed,True,course_promotion,own_product,2026-07-29T16:05:26+00:00,2026-07-29T19:05:26+03:00,2026-07-29,explicit_html_timestamp,False,False,True,[],,,,"Подготовка к стажировкам, рекомендация Алгоритмов СТАРТ и обращение к менеджеру.",[],[],,101bfe4a96c18ff9cff8850d39a52138bd3bf260e7def88a119fa2f27802783c,
postypashki_old:1824,https://t.me/postypashki_old/1824,,real_public,marketing_fields_reviewed,True,course_promotion,own_product,2026-07-30T16:05:25+00:00,2026-07-30T19:05:25+03:00,2026-07-30,explicit_html_timestamp,False,False,True,[],,,,Преподаватель Backend СТАРТ и приглашение присоединиться к текущему курсу.,[],[],,d92fa9babb22b9e2357114068eb71734a998ea9e2c5d16d1f9b2927316cc0177,
postypashki_old:1825,https://t.me/postypashki_old/1825,,real_public,marketing_fields_reviewed,True,student_story,brand,2026-07-31T15:49:40+00:00,2026-07-31T18:49:40+03:00,2026-07-31,explicit_html_timestamp,False,True,False,[],,,,"Интервью с учеником, поступившим в ШАД.",[],[],,d0447f982242575e424e4fef228aaded41c238a53b261389ce7db0350efc240b,
postypashki_old:1826,https://t.me/postypashki_old/1826,,real_public,marketing_fields_reviewed,True,educational_content,brand,2026-08-01T09:05:28+00:00,2026-08-01T12:05:28+03:00,2026-08-01,explicit_html_timestamp,False,True,False,[],,,,Гайд по ML-собеседованиям WB на опыте выпускников.,[],[],,44f19341f612f2cf15b87a30714e877395f53b08ab10d9d8962bea304dbe1134,
postypashki_old:1827,https://t.me/postypashki_old/1827,,real_public,marketing_fields_reviewed,True,lead_magnet,own_audience,2026-08-02T08:51:49+00:00,2026-08-02T11:51:49+03:00,2026-08-02,explicit_html_timestamp,False,True,False,[],,,,Разбор контеста Яндекса за подписку и комментарий в Instagram.,[],[],,c19197a4f853e0da390f15dc672a083f7a67c7cdeb207d18c1c6b0ad666b5a9d,
postypashki_old:1828,https://t.me/postypashki_old/1828,,real_public,marketing_fields_reviewed,True,educational_content,brand,2026-08-03T16:07:16+00:00,2026-08-03T19:07:16+03:00,2026-08-03,explicit_html_timestamp,False,False,False,[],,,,Материал о работе за рубежом.,[],[],,587eb751f96edf0cba071585604cae241fce645cd5f5040234475ff4d8f7029b,
postypashki_old:1829,https://t.me/postypashki_old/1829,,real_public,marketing_fields_reviewed,True,video_content,brand,2026-08-04T15:50:24+00:00,2026-08-04T18:50:24+03:00,2026-08-04,explicit_html_timestamp,False,False,False,[],,,,Развлекательный ролик о сотрудницах IT-компаний.,[],[],,a79296605f054db9f486eeb10a550030d979d4726f838a25a54fd9a87df5573d,
