courses,orders,amount_cents
ML старт + Алгоритмы старт,22,21925000
Аналитика про + Аналитика старт,21,28147300
AI агенты + ML про,16,23020000
ML про + ML старт,11,17240000
Алгоритмы про + Алгоритмы старт,10,14855000
Backend старт + Алгоритмы старт,8,8957000
Алгоритмы старт + Аналитика старт,8,8361000
AI агенты + Backend про,6,9119500
Backend про + Backend старт,5,7775000
AI агенты + Аналитика про,4,5880000
Backend старт + Алгоритмы,4,3928000
ML про + Алгоритмы про,3,4485000
Линейная алгебра + Мат анализ,3,5675000
АВ тестам + Аналитика старт,3,3685000
ML старт + Алгоритмы,3,3675000
Backend про + Алгоритмы про,2,3190000
Алгоритмы + Дискретка + Линейная алгебра + Мат анализ + Теория вероятностей,2,8597500
AI агенты + Алгоритмы про,2,2890000
Алгоритмы старт + Аналитика про + Аналитика старт,2,3958500
АВ тестам + Аналитика про,1,1495000
AI агенты + ML старт,1,1395000
AI агенты + Алгоритмы + Мат анализ + Теория вероятностей,1,2985000
Backend про + Дискретка,1,1795000
Алгоритмы + Алгоритмы про,1,990000
Backend про + Алгоритмы,1,845000
ML старт + Аналитика старт,1,1795000
ML про + Алгоритмы старт,1,1495000
ML про + Аналитика про,1,1495000
AI агенты + ML про + ML старт + Алгоритмы старт,1,895000
Backend про + ML про,1,1395000
Data Engenering + Алгоритмы,1,999000
ML старт + Аналитика про,1,1495000
Backend старт + ML старт + Алгоритмы старт,1,1639000
AI агенты + ML про + ML старт,1,2242500
Data Engenering + Data Science,1,1290000
Алгоритмы про + Аналитика про,1,1395000
АВ тестам + Алгоритмы,1,899000
