course_a,course_b,orders
ML старт,Алгоритмы старт,24
Аналитика про,Аналитика старт,23
AI агенты,ML про,18
ML про,ML старт,13
Алгоритмы про,Алгоритмы старт,10
Алгоритмы старт,Аналитика старт,10
Backend старт,Алгоритмы старт,9
AI агенты,Backend про,6
Backend про,Backend старт,5
Линейная алгебра,Мат анализ,5
AI агенты,Аналитика про,4
Backend старт,Алгоритмы,4
AI агенты,ML старт,3
ML про,Алгоритмы про,3
Алгоритмы,Мат анализ,3
Алгоритмы,Теория вероятностей,3
Мат анализ,Теория вероятностей,3
АВ тестам,Аналитика старт,3
ML старт,Алгоритмы,3
Backend про,Алгоритмы про,2
Алгоритмы,Дискретка,2
Алгоритмы,Линейная алгебра,2
Дискретка,Линейная алгебра,2
Дискретка,Мат анализ,2
Дискретка,Теория вероятностей,2
Линейная алгебра,Теория вероятностей,2
ML про,Алгоритмы старт,2
AI агенты,Алгоритмы про,2
Алгоритмы старт,Аналитика про,2
АВ тестам,Аналитика про,1
AI агенты,Алгоритмы,1
AI агенты,Мат анализ,1
AI агенты,Теория вероятностей,1
Backend про,Дискретка,1
Алгоритмы,Алгоритмы про,1
Backend про,Алгоритмы,1
ML старт,Аналитика старт,1
ML про,Аналитика про,1
AI агенты,Алгоритмы старт,1
Backend про,ML про,1
Data Engenering,Алгоритмы,1
ML старт,Аналитика про,1
Backend старт,ML старт,1
Data Engenering,Data Science,1
Алгоритмы про,Аналитика про,1
АВ тестам,Алгоритмы,1
