course,items,buyers,amount_cents,amount_rub
Аналитика про,93,92,74094150,740941.5
ML про,90,90,71511000,715110.0
AI агенты,91,90,71167300,711673.0
Аналитика старт,91,91,64161650,641616.5
Алгоритмы старт,88,88,52985168,529851.68
ML старт,80,80,52327833,523278.33
Backend про,55,55,43834250,438342.5
Алгоритмы про,35,35,26840900,268409.0
Backend старт,39,39,26339666,263396.66
Алгоритмы,30,30,20948250,209482.5
Мат анализ,20,20,19138250,191382.5
Линейная алгебра,19,19,18066500,180665.0
К ВУЗу,26,25,18025000,180250.0
Теория вероятностей,13,13,13210750,132107.5
Data Science,9,9,6929500,69295.0
АВ тестам,8,8,4961000,49610.0
Дискретка,4,4,3441500,34415.0
Data Engenering,4,4,2484500,24845.0
